avg(CAST(Trades AS DOUBLE)),Ticker,Exchange
,,
855.5,A,Bats-Y
491.6585365853659,A,Boston
0.3133047210300429,A,CHX
3203.114285714286,A,Nasdaq
1564.9878048780488,A,Arca
1.337719298245614,A,NSX
2980.942857142857,A,NYSE
554.19918699187,A,Edge-A
159.22764227642276,A,Phlx
1456.5325203252032,A,Bats-Z
1101.2926829268292,A,Edge-X
5028.587755102041,AA,Bats-Z
3082.5102040816328,AA,Boston
6183.269387755102,AA,Bats-Y
4415.3943089430895,AA,Arca
7.375,AA,CHX
5978.184426229508,AA,Nasdaq
3.1353711790393013,AA,NSX
3137.1673469387756,AA,Edge-A
4275.05737704918,AA,NYSE
4151.175510204082,AA,Edge-X
891.5061224489796,AA,Phlx
123.04081632653062,AAC,Edge-X
226.33196721311475,AAC,NYSE
272.3114754098361,AAC,Nasdaq
0.18421052631578946,AAC,CHX
0.1506849315068493,AAC,NSX
197.9673469387755,AAC,Arca
12.06938775510204,AAC,Phlx
92.28163265306122,AAC,Bats-Y
63.3469387755102,AAC,Boston
28.163265306122447,AAC,Edge-A
91.99183673469388,AAC,Bats-Z
0.45714285714285713,AADR,Bats-Z
0.987012987012987,AADR,Edge-A
1.0,AADR,Phlx
2.9471544715447155,AADR,Arca
1.034934497816594,AADR,Bats-Y
1.7870967741935484,AADR,Boston
0.7119341563786008,AADR,Nasdaq
0.7008547008547008,AADR,Edge-X
0.0,AADR,NSX
1156.3836734693878,AAL,Phlx
2108.5183673469387,AAL,Bats-Y
5627.844897959184,AAL,Bats-Z
2.4646017699115044,AAL,NSX
2262.877450980392,AAL,Amex
1886.6204081632652,AAL,Edge-A
1625.9142857142858,AAL,Boston
14521.483606557376,AAL,Nasdaq
7282.502040816326,AAL,Edge-X
0.5170940170940171,AAL,CHX
7260.355102040817,AAL,Arca
0.14705882352941177,AAMC,NSX
5.1387755102040815,AAMC,Edge-A
26.987755102040815,AAMC,Edge-X
38.23265306122449,AAMC,Arca
3.84297520661157,AAMC,Boston
5.595918367346939,AAMC,Bats-Y
30.168032786885245,AAMC,Amex
9.657142857142857,AAMC,Bats-Z
0.12727272727272726,AAMC,CHX
1.1008403361344539,AAMC,Phlx
46.38934426229508,AAMC,Nasdaq
2.9673469387755103,AAME,Edge-X
0.0,AAME,CHX
5.60655737704918,AAME,Nasdaq
5.2190082644628095,AAME,Arca
0.5142857142857142,AAME,Phlx
0.9183673469387755,AAME,Bats-Z
0.7565217391304347,AAME,Boston
0.8864628820960698,AAME,Bats-Y
0.19230769230769232,AAME,Edge-A
174.3877551020408,AAN,Edge-A
1115.1065573770493,AAN,NYSE
0.08016877637130802,AAN,CHX
578.8163265306123,AAN,Bats-Z
319.83673469387753,AAN,Bats-Y
0.1277533039647577,AAN,NSX
655.6244897959184,AAN,Arca
50.2734693877551,AAN,Phlx
201.0081632653061,AAN,Boston
1023.5122950819672,AAN,Nasdaq
424.38367346938776,AAN,Edge-X
0.019801980198019802,AAOI,CHX
296.1102040816327,AAOI,Edge-X
193.18367346938774,AAOI,Bats-Z
78.55918367346939,AAOI,Edge-A
0.14746543778801843,AAOI,NSX
168.22448979591837,AAOI,Bats-Y
108.64897959183673,AAOI,Boston
293.0938775510204,AAOI,Arca
995.8934426229508,AAOI,Nasdaq
25.73061224489796,AAOI,Phlx
0.1,AAON,CHX
85.5469387755102,AAON,Bats-Z
521.8975409836065,AAON,Nasdaq
93.25714285714285,AAON,Edge-X
67.66938775510204,AAON,Boston
101.16326530612245,AAON,Bats-Y
42.583673469387755,AAON,Edge-A
0.15384615384615385,AAON,NSX
11.314285714285715,AAON,Phlx
133.4408163265306,AAON,Arca
462.5795918367347,AAP,Boston
445.72244897959183,AAP,Bats-Y
2200.9549180327867,AAP,Nasdaq
761.6938775510204,AAP,Bats-Z
67.64897959183673,AAP,Phlx
0.5676855895196506,AAP,NSX
0.10833333333333334,AAP,CHX
583.9673469387756,AAP,Edge-X
1574.032786885246,AAP,NYSE
1362.1020408163265,AAP,Arca
210.04897959183674,AAP,Edge-A
8601.359183673469,AAPL,Bats-Y
2.510204081632653,AAPL,CHX
5254.702040816326,AAPL,Boston
25367.01632653061,AAPL,Bats-Z
29417.689795918366,AAPL,Edge-X
10.504347826086956,AAPL,NSX
6290.151020408163,AAPL,Edge-A
41211.274590163935,AAPL,Nasdaq
4655.938775510204,AAPL,Phlx
532.4117647058823,AAPL,Amex
29471.71020408163,AAPL,Arca
0.0,AAVL,NSX
235.61111111111111,AAVL,Bats-Z
1065.9,AAVL,Nasdaq
223.75555555555556,AAVL,Bats-Y
331.85555555555555,AAVL,Arca
40.72222222222222,AAVL,Phlx
93.73333333333333,AAVL,Boston
60.6,AAVL,Edge-A
330.18888888888887,AAVL,Edge-X
0.05263157894736842,AAVL,CHX
166.13877551020408,AAWW,Bats-Z
50.95510204081633,AAWW,Edge-A
16.06530612244898,AAWW,Phlx
208.98367346938775,AAWW,Edge-X
0.0783132530120482,AAWW,CHX
154.94285714285715,AAWW,Bats-Y
308.8122448979592,AAWW,Arca
985.1065573770492,AAWW,Nasdaq
0.171875,AAWW,NSX
123.38775510204081,AAWW,Boston
824.4186991869918,AAXJ,Arca
549.7886178861788,AAXJ,Edge-X
76.34552845528455,AAXJ,Phlx
1624.3224489795919,AAXJ,Nasdaq
0.16666666666666666,AAXJ,CHX
1.7039473684210527,AAXJ,NSX
703.930894308943,AAXJ,Bats-Z
218.4878048780488,AAXJ,Edge-A
510.5975609756098,AAXJ,Bats-Y
350.7317073170732,AAXJ,Boston
109.65306122448979,ABAX,Bats-Y
81.44489795918368,ABAX,Boston
187.26122448979592,ABAX,Arca
0.08333333333333333,ABAX,CHX
0.05405405405405406,ABAX,NSX
97.86938775510204,ABAX,Bats-Z
16.68979591836735,ABAX,Phlx
37.922448979591834,ABAX,Edge-A
712.2295081967213,ABAX,Nasdaq
131.26122448979592,ABAX,Edge-X
0.6748971193415638,ABBV,CHX
5.39647577092511,ABBV,NSX
533.5102040816327,ABBV,Phlx
1603.857142857143,ABBV,Boston
1722.7591836734694,ABBV,Edge-A
3883.0367346938774,ABBV,Edge-X
8977.655737704918,ABBV,NYSE
8156.520491803279,ABBV,Nasdaq
2242.8979591836733,ABBV,Bats-Y
5280.338775510204,ABBV,Bats-Z
4472.265306122449,ABBV,Arca
720.5387755102041,ABC,Boston
